641.6,5.5,23.4,17.4,129.1,3.4,42.4,57.2,7.1,12.4,18.8,71,14.4,21.6,16.8,4.2,,,
787,3.9,21,15.3,145.2,3.3,51,72.2,9.3,19,18.1,77.4,19.4,19.9,17.7,4.9,,,
741,5.4,24.2,20.1,123.5,0.7,53.8,41,6,11.4,18.6,70.1,15.4,23.8,15.9,5,,,
705.3,5.2,27.5,17.9,153.1,2.9,42.5,43.9,6.3,19,20.6,70.3,16.3,24,16.4,5.1,,,
597.2,4.8,22.2,13.1,122.8,3.1,31.4,41,5.6,9,18,66.8,15.3,22.4,11.9,5.2,,,
806.3,6,23.3,13.7,100.7,3.5,26.2,54,15.9,20.9,17.3,78.6,20.1,20.2,13.6,5.2,,,
721.6,5,28.7,18.6,144.1,1.5,46.8,55.2,7.3,14.7,21.7,71.5,17.4,19.5,18.9,5.2,,,
785.1,5,27.6,18.4,160.5,2.8,52.5,60,7.6,16.5,20.9,74.9,20.8,22.1,19.6,5.3,,,
737.8,6,27.1,17.2,152.5,7.4,46.6,61.5,9.4,14.6,21,72.8,21.6,23.7,14.2,5.4,,,
837.6,5.1,23.6,16.3,115.6,4.1,51.7,57.6,9.6,21.8,22.7,76.3,19.2,20.2,19.8,5.5,,,
832.2,5.5,31,24.3,184.7,1.7,58.1,45.9,7.5,17.2,22.1,72.5,17.1,25.2,20.3,5.5,,,
806.5,6.3,23.6,17,161.1,2.3,55.6,66.7,12.3,23.9,17.1,78.8,22.2,23,21.7,5.5,,,
691.3,5.3,27.8,20.3,162.5,1.6,42.3,39.4,6.2,14.3,23,71.8,16.2,26.4,16.6,5.6,,,
827.5,5.1,24.9,15.5,122.6,5.2,49.4,55.1,9.2,29.6,17.2,73.9,19.5,23.6,16.5,5.8,,,
785.2,5.6,25,21.8,141.9,2.1,56.5,49,6.4,12.9,23.9,70.2,18.7,23.8,18.7,6.1,,,
817.7,5,30.4,20.1,139.6,1.2,49.6,60.1,10.4,21.5,21.3,71.9,18.4,24.7,18.2,6.3,,,
753.4,5.5,25.1,18.1,147,5,48.1,43,7.6,23.1,21.1,70.6,19.2,25.2,18.3,6.3,,,
826.9,6.3,25.8,20,140.4,2,53.7,52.5,6.8,11.8,23.8,71.5,21.9,24.4,21,6.3,,,
757.1,5.2,27.7,18.9,131.3,2.5,48.2,57.1,8.6,19.7,17.2,73,17.1,26.4,19,6.4,,,
862.3,6.1,28,22.3,180.5,6.7,64.8,61.4,8.9,11.4,23.4,72,20.8,26.2,22.2,6.5,,,
780.8,6.1,25.1,17.4,162.5,2.8,47.3,51.6,8.5,21.7,19.1,78.6,21.5,23.9,21.8,6.6,,,
695.6,5.5,25.7,18.7,191.5,3.3,41.7,37.2,4.8,13.4,22.7,67.3,15.2,22.7,13.9,6.7,,,
628.9,4.1,17.2,17.1,98.3,2.3,33.4,54.5,9.5,19.7,19,77.1,17.8,23.9,18,6.9,,,
712.8,6.2,23.5,16.5,158.6,4,42.4,52.1,9.1,17,21.5,72.9,19.5,27.7,16.1,7,,,
841.1,6.8,26.6,18.6,179.5,2.7,52.6,48.9,6,13.2,26.6,76.4,23.2,27.7,24,7,,,
845.6,6.2,27.2,23.7,169.5,5.5,58.5,60.7,8.9,22,24.5,76.1,24.5,28.5,24,7,,,
740.4,5.4,28.2,20,179,2.3,46.1,36.6,6.1,15.1,25.1,75.6,19.1,24.2,17.1,7.1,,,
831.4,6.9,28.2,19.5,215.2,2.3,56.3,51.6,10.1,12.2,23.3,79.9,23.3,26.4,24.7,7.1,,,
765,6,26.2,17.6,144.3,3.1,51,46.2,7.6,22.5,25.4,70.5,21,25.4,20.1,7.3,,,
927.3,5.3,31.3,24.2,217.8,18,54.5,56,7.6,13.2,24.6,72.1,25.5,26.2,17.8,8.3,,,
723.6,5.8,22.8,17.4,160.6,7.7,41.6,60.3,11,22.6,21.8,69.3,10.5,20.8,17.8,3.7,,,
942.8,5.4,29.3,20.6,152.2,15.8,52.2,56.4,8.7,26.9,21,74,21.3,22.5,16.8,5,,,
802.8,5.3,27,18.8,121.6,12,43.4,57.2,9.7,21.8,22.7,72.8,21.7,22.4,16.4,5.3,,,
848.6,4.9,26.9,18.8,133.9,9,48.8,64.8,10.4,18.5,22.2,77.5,20.4,24,18.6,5.3,,,
814.8,6,22.3,16,137.6,8.9,35.6,48.6,19.3,45,18.9,78.1,17.5,20.2,21,5.4,,,
861.1,5.9,29.1,24,139.8,7.7,59.9,44.5,5.7,14.3,26.4,72.8,17.8,20.6,19.8,5.6,,,
790.8,5.2,23.6,18.4,149.3,3.6,45.3,58.7,12.9,23.5,19.2,73.1,18.7,16.3,19.6,5.8,,,
